Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
2000,36 Months,9,RENT,25000,Other,GA,6.19,None,36072.36111,715,0,67,2,None,0,0,8,513,None,Creditworthy
6000,36 Months,2,RENT,36000,Debt Consolidation,VA,14.77,None,37932.32569,680,1,0,11,None,2662,30.6,19,0,None,Creditworthy
5600,36 Months,0.5,RENT,45000,Credit Card,FL,20.11,None,37872.39861,710,0,0,4,None,14949,87.9,13,0,None,Creditworthy
16000,36 Months,4,RENT,66000,Debt Consolidation,CA,22.98,None,35592.40833,695,0,0,14,None,35229,95.3,27,53,None,Creditworthy
8000,36 Months,4,RENT,36000,Wedding,CA,8.47,None,37842.40903,660,2,0,7,None,5618,65.3,9,108,None,Creditworthy
13000,36 Months,5,MORTGAGE,66000,Debt Consolidation,AL,17.02,One,34542.41042,740,4,6,16,None,3912,8.7,46,0,None,Creditworthy
4000,36 Months,0,OWN,37200,Home Improvement,AL,9.35,None,35532.49722,665,0,0,6,None,4598,57.5,14,153,None,Uncreditworthy
12000,36 Months,2,RENT,78500,Credit Card,CA,14.14,None,37033.52778,730,1,0,5,None,0,0,11,0,None,Creditworthy
7000,36 Months,3,RENT,39600,Major Purchase,CA,9.18,One,37693.05764,680,1,6,3,None,0,0,9,334,None,Creditworthy
3000,36 Months,8,RENT,24000,Other,PA,5.55,None,38173.34097,725,0,26,6,None,4296,20.4,12,1,None,Uncreditworthy
10000,36 Months,1,MORTGAGE,70000,Home Improvement,PA,17.04,None,37933.31111,705,2,0,10,None,2578,25.3,22,420,None,Creditworthy
24250,36 Months,6,RENT,103000,Credit Card,TX,16.9,None,32593.36181,685,0,25,11,None,50000,91.1,27,692,None,Creditworthy
1200,36 Months,6,MORTGAGE,75873,Debt Consolidation,VA,13.36,None,35383.36181,700,1,24,15,None,6101,68.6,38,0,None,Creditworthy
8000,36 Months,1,RENT,25200,Debt Consolidation,VA,15.43,None,37285.38958,685,0,0,7,None,1359,52.3,18,456,None,Creditworthy
25000,36 Months,10,RENT,72000,Small Business,MA,18.05,None,30673.38264,700,0,0,10,None,35998,87.4,14,433,None,Uncreditworthy
10000,36 Months,2,RENT,35000,Debt Consolidation,IL,18.65,None,36343.42986,675,1,39,4,None,22680,76.9,14,682,None,Creditworthy
1000,36 Months,2,MORTGAGE,88000,Major Purchase,LA,10.34,None,36403.47431,675,1,0,10,None,30435,93.6,21,329,None,Creditworthy
24250,36 Months,10,MORTGAGE,98000,Debt Consolidation,CA,19,One,34873.52986,685,2,21,10,None,14206,55.9,15,473,None,Creditworthy
10000,36 Months,2,RENT,30400,Debt Consolidation,CA,21,None,38473.49444,670,0,0,6,None,6760,85.6,6,461,None,Creditworthy
9000,36 Months,0,MORTGAGE,200000,Educationalal,WI,4.18,One,33853.50278,735,2,17,9,None,5663,13.2,33,570,None,Uncreditworthy
7000,36 Months,0,RENT,15600,Educationalal,WI,11.38,None,30373.47569,730,0,77,7,None,5291,67,22,496,None,Creditworthy
3000,36 Months,4,RENT,42000,Major Purchase,CT,0.44,None,36133.49028,710,0,81,10,None,3752,42.2,13,553,None,Creditworthy
10000,36 Months,5,RENT,39312,Debt Consolidation,CA,21.73,None,37663.11667,660,0,0,8,None,12421,77.1,12,1,None,Creditworthy
20000,36 Months,4,MORTGAGE,145000,Credit Card,MN,11.27,None,36643.23194,720,1,73,12,None,35713,60.8,28,430,None,Creditworthy
12000,36 Months,10,MORTGAGE,60000,Debt Consolidation,TX,8.88,None,34243.24653,685,0,0,6,One,8502,57.4,35,0,One,Creditworthy
11000,36 Months,10,MORTGAGE,79000,Other,NY,4.5,None,36942.29167,690,0,36,5,None,1210,24.2,11,203,None,Creditworthy
8500,36 Months,2,OWN,75000,Debt Consolidation,NY,4.46,One,36885.09514,695,0,14,17,None,1954,26.9,67,1,None,Creditworthy
22000,36 Months,2,RENT,167000,Credit Card,CA,7.26,None,34993.38403,755,0,0,4,None,29740,57.2,15,419,None,Creditworthy
15000,36 Months,1,RENT,24000,Other,FL,10.9,None,38624.24931,720,1,0,9,None,9156,34.3,11,1,None,Uncreditworthy
24000,36 Months,9,RENT,120000,Home Improvement,NY,2.35,Two,33403.4875,665,0,8,3,None,366,4.3,16,1000,None,Creditworthy
25000,36 Months,5,RENT,135000,Debt Consolidation,NY,20.51,None,32624.24167,725,0,0,7,None,43567,76.8,22,1,None,Creditworthy
7000,36 Months,7,RENT,36416.84,Other,MA,9.65,None,36674.34931,660,1,75,10,None,12392,73.8,17,746,None,Uncreditworthy
23800,36 Months,7,MORTGAGE,110000,Debt Consolidation,NY,5.41,None,34754.27917,770,2,0,6,None,4678,11,37,431,None,Creditworthy
6000,36 Months,0.5,RENT,51000,Debt Consolidation,TX,4.8,None,37514.44167,665,0,0,5,None,6451,97.7,6,251,None,Creditworthy
25000,36 Months,10,MORTGAGE,99500,Debt Consolidation,GA,9.68,None,34997.33681,715,0,0,8,None,19466,99.3,20,1,None,Creditworthy
4800,36 Months,10,MORTGAGE,97000,Other,GA,13.4,None,34724.41736,785,0,0,9,None,50000,27.1,26,67,None,Creditworthy
16750,36 Months,3,RENT,96600,Home Improvement,AZ,10.2,None,35324.48194,725,2,0,8,None,22627,47.7,31,0,None,Creditworthy
18000,36 Months,4,RENT,81972,Other,CA,22.82,One,36464.06528,715,0,17,13,None,18940,72.2,31,810,None,Creditworthy
1000,36 Months,2,MORTGAGE,31200,Other,TX,6.15,None,39014.52778,680,0,0,4,None,681,52.4,4,132,None,Creditworthy
25000,36 Months,10,RENT,79000,Debt Consolidation,GA,13.96,One,30500.22083,695,0,14,14,None,26018,43.9,20,1000,None,Creditworthy
7500,36 Months,3,RENT,90000,Car,CA,17.6,None,33224.05694,665,0,46,17,None,16517,31.2,38,1,None,Creditworthy
5000,36 Months,2,RENT,16000,Debt Consolidation,OR,1.88,None,39074.09167,675,0,0,2,None,981,65.4,3,641,None,Creditworthy
8000,36 Months,0.5,RENT,42000,Small Business,HI,10.83,None,35474.09931,675,1,24,10,None,5485,76.2,30,821,None,Uncreditworthy
4000,36 Months,4,OWN,55200,Wedding,CT,16.13,One,33344.15972,685,0,7,9,None,6874,48.1,13,0,None,Creditworthy
10000,36 Months,6,RENT,24000,Credit Card,CA,16.15,None,37694.12639,710,2,0,8,None,6940,49.7,21,447,None,Creditworthy
4000,36 Months,2,RENT,48000,Small Business,CA,11.68,One,35624.17708,720,0,21,3,None,303,43.3,16,424,None,Uncreditworthy
12000,36 Months,2,RENT,34000,Credit Card,FL,9.78,None,35504.14028,685,0,63,5,None,9261,95.5,13,639,None,Creditworthy
1500,36 Months,0.5,RENT,30000,Other,MD,3.16,None,38775.37153,660,0,33,3,None,2761,83.7,4,1,None,Creditworthy
16000,36 Months,5,RENT,50000,Debt Consolidation,MD,21.07,None,38084.22222,695,1,0,9,One,11495,76.1,11,151,One,Uncreditworthy
11000,36 Months,8,MORTGAGE,58570.72,Credit Card,CA,10.14,None,36854.27292,740,0,0,7,None,16687,72.6,17,0,None,Creditworthy
3000,36 Months,0.5,RENT,130000,Debt Consolidation,CA,0.6,None,34274.43125,665,0,43,5,None,3100,73.8,15,1,None,Creditworthy
22500,36 Months,2,RENT,52500,Credit Card,NV,9.62,None,34004.41944,720,0,0,4,None,12749,95.9,9,780,None,Creditworthy
5000,36 Months,8,MORTGAGE,62000,Debt Consolidation,GA,8.65,None,36585.22014,715,2,66,5,None,1158,10.5,10,656,None,Creditworthy
8000,36 Months,0.5,RENT,40000,Debt Consolidation,FL,20.04,None,35355.32153,715,0,0,6,None,12586,80.7,21,342,None,Creditworthy
10000,36 Months,3,MORTGAGE,98784,Other,CA,14.32,None,32805.35556,720,1,30,7,None,31844,61.2,25,1,None,Creditworthy
8000,36 Months,3,MORTGAGE,65000,Debt Consolidation,MN,16.82,None,36470.29653,775,0,0,10,None,9191,19,26,173,None,Creditworthy
5000,36 Months,10,RENT,58000,Other,NY,23.96,None,36195.36458,685,1,0,8,None,12598,75,31,972,None,Uncreditworthy
5000,36 Months,2,RENT,40000,Debt Consolidation,AZ,22.86,None,35025.46111,690,1,0,4,One,2305,92.2,11,153,None,Creditworthy
3200,36 Months,5,RENT,47515,Moving,CA,2.32,None,38775.47222,670,0,28,6,None,2340,38.4,9,274,None,Creditworthy
5000,36 Months,0,RENT,36000,Debt Consolidation,KY,11.9,None,30000,705,0,0,5,One,12487,81.1,11,181,None,Creditworthy
5000,36 Months,9,RENT,45000,Debt Consolidation,CA,6.51,None,35595.53472,685,1,0,6,One,5971,67.9,12,47,One,Creditworthy
9800,36 Months,7,RENT,90000,Home Improvement,NJ,4.93,None,38475.04722,665,1,32,6,None,3221,27.3,8,0,None,Creditworthy
11000,36 Months,10,OWN,56700,Major Purchase,AL,10.48,None,34817.26042,780,0,0,3,None,0,0,18,1,None,Creditworthy
5000,36 Months,10,MORTGAGE,116000,Debt Consolidation,CA,18.61,None,33705.17153,705,0,0,14,None,44229,75.7,32,609,None,Creditworthy
12000,36 Months,3,OWN,30000,Debt Consolidation,NJ,17,None,37875.24167,705,3,0,16,None,11134,28.9,26,1000,None,Uncreditworthy
1000,36 Months,10,MORTGAGE,17400,Other,MO,0,None,33045.29931,715,1,0,2,One,0,0,23,83,One,Creditworthy
5000,36 Months,10,RENT,41000,Debt Consolidation,FL,14.84,None,36825.3125,720,0,79,7,None,1451,31.5,16,105,None,Uncreditworthy
10000,36 Months,0.5,RENT,50000,Small Business,TX,3.46,None,35055.45903,755,1,0,5,None,4771,26.8,10,591,None,Creditworthy
25000,36 Months,2,MORTGAGE,200000,Credit Card,MA,14.23,None,31067.53056,745,2,0,28,None,50000,32.9,63,466,None,Creditworthy
12000,36 Months,5,MORTGAGE,96000,Debt Consolidation,MI,9.26,None,32926.33542,730,1,0,9,None,10836,63,43,0,None,Creditworthy
6600,36 Months,10,RENT,130000,Debt Consolidation,MA,2.34,None,34336.04375,660,3,32,6,None,7261,84.4,18,374,None,Creditworthy
5000,36 Months,3,MORTGAGE,60000,Home Improvement,AZ,22.92,None,34939.35972,690,3,49,27,None,16509,57.7,51,1000,None,Creditworthy
5000,36 Months,10,OWN,100000,Major Purchase,SC,3.14,None,36016.08403,765,0,0,16,None,3204,7.6,58,275,None,Creditworthy
12500,36 Months,5,MORTGAGE,60000,Debt Consolidation,MO,18.22,None,34311.21389,695,1,39,7,None,21394,69.7,29,1,None,Creditworthy
4800,36 Months,2,RENT,14400,Debt Consolidation,FL,3.33,None,37697.42847,740,1,0,2,None,1977,23.8,4,1,None,Creditworthy
20000,36 Months,0.5,RENT,58000,Debt Consolidation,CA,8.3,None,37486.39306,715,0,0,4,None,18339,84.2,12,740,None,Creditworthy
6000,36 Months,10,MORTGAGE,75181,Car,GA,18.31,None,34306.34792,740,0,0,11,None,26463,37.6,30,0,None,Creditworthy
3350,36 Months,10,OWN,53000,Car,SC,23.55,None,33887.23681,755,0,0,6,None,18350,29.9,20,0,None,Creditworthy
20000,36 Months,2,MORTGAGE,95000,Home Improvement,VA,1.53,None,35177.26597,730,0,58,11,None,3818,15.6,36,357,None,Creditworthy
12000,36 Months,1,RENT,50600,Debt Consolidation,TX,15.68,None,38627.33056,695,1,0,11,None,3792,55.8,18,790,None,Creditworthy
19000,36 Months,3,RENT,72000,Major Purchase,TX,11.68,None,37457.46597,730,1,0,13,None,12284,20.8,29,1000,None,Creditworthy
3600,36 Months,8,OWN,44894,Small Business,CT,11.79,One,37397.40833,715,3,15,7,None,1773,20.9,24,627,None,Creditworthy
7000,36 Months,1,RENT,19200,Debt Consolidation,MA,12.63,None,38657.40625,665,0,0,3,None,5063,55,3,711,None,Creditworthy
2000,36 Months,4,MORTGAGE,62400,Small Business,GA,23.42,None,34187.44931,690,1,0,15,None,50000,89.3,21,307,None,Creditworthy
3000,36 Months,5,MORTGAGE,70000,Other,KY,11.49,None,36977.45278,745,4,0,11,None,9574,36,16,808,None,Creditworthy
6000,36 Months,6,MORTGAGE,60000,Major Purchase,FL,2.82,Two,36827.49514,685,2,18,5,None,4361,58.9,18,114,None,Creditworthy
6000,36 Months,2,MORTGAGE,57000,Other,CA,7.73,One,35537.21806,685,0,23,8,Two,0,0,22,663,None,Creditworthy
25000,36 Months,10,MORTGAGE,135000,Moving,IL,20.88,None,30000,680,0,0,18,One,13018,68.4,39,669,One,Creditworthy
3525,36 Months,5,RENT,36000,Car,FL,18.9,None,31847.05556,660,0,0,13,One,6968,60.1,22,109,None,Creditworthy
3500,36 Months,4,MORTGAGE,59000,Debt Consolidation,NY,0.63,One,35327.13611,695,1,22,15,None,11279,19.5,38,91,None,Creditworthy
5000,36 Months,2,RENT,28800,Other,CA,20.04,None,38149.04306,700,0,0,3,None,438,17.5,3,404,None,Creditworthy
25000,36 Months,0.5,MORTGAGE,180000,Debt Consolidation,TX,13.96,None,30617.2625,685,1,0,10,One,16960,90.7,18,865,One,Uncreditworthy
1600,36 Months,4,MORTGAGE,25000,Educationalal,WA,0.96,None,37007.26875,700,2,0,4,One,66,0.5,14,210,One,Creditworthy
25000,36 Months,2,RENT,200000,Debt Consolidation,NY,7.28,One,33647.27083,670,1,21,12,None,28897,46.9,52,101,None,Uncreditworthy
4000,36 Months,0.5,MORTGAGE,40000,Debt Consolidation,TX,9.36,None,35297.33125,695,3,73,9,None,4498,73.7,19,163,None,Creditworthy
12500,36 Months,2,RENT,35000,Other,NY,12.75,None,36779.31389,710,0,33,2,None,6,1.5,5,48,None,Creditworthy
5000,36 Months,0.5,RENT,31404,Debt Consolidation,FL,11.58,None,38147.34931,735,2,0,15,None,2493,9.9,32,86,None,Creditworthy
12000,36 Months,4,RENT,45000,Debt Consolidation,NY,7.92,None,31577.36597,755,1,0,7,None,8647,26.2,18,210,None,Creditworthy
6400,36 Months,5,RENT,58000,Car,CA,11.86,None,36642.25972,745,2,30,7,None,2293,6.1,18,50,None,Creditworthy
25000,36 Months,7,MORTGAGE,87000,Credit Card,OK,22.83,None,32867.38542,735,3,0,20,None,42752,39.2,48,496,None,Creditworthy
2100,36 Months,2,RENT,21000,Wedding,FL,21.52,None,38537.44167,750,0,0,4,None,564,7.6,15,427,None,Creditworthy
8500,36 Months,1,MORTGAGE,65000,Credit Card,VA,20.05,None,37307.44861,755,3,0,11,None,4384,19.2,30,169,None,Creditworthy
12000,36 Months,7,RENT,75000,Educationalal,HI,17.56,None,34638.05556,680,0,0,7,None,17233,91.2,12,225,None,Creditworthy
15000,36 Months,0.5,MORTGAGE,87000,Credit Card,TX,14.95,None,34788.20347,730,2,0,19,None,33403,40.4,31,1000,None,Creditworthy
10800,36 Months,3,MORTGAGE,43495,Credit Card,VT,10.68,None,31518.27292,710,0,0,4,One,4349,77.7,11,1000,One,Creditworthy
7200,36 Months,6,RENT,29120,Debt Consolidation,CA,9.68,None,35928.34722,695,0,0,4,One,6659,80.2,10,270,One,Creditworthy
13050,36 Months,5,MORTGAGE,140000,Debt Consolidation,TX,11.07,None,34530.29375,675,1,70,8,One,4954,82.2,18,327,None,Creditworthy
3000,36 Months,6,MORTGAGE,36500,Debt Consolidation,TX,23.84,None,38808.39444,675,1,0,7,None,2207,45,10,0,None,Creditworthy
18000,36 Months,3,RENT,71000,Debt Consolidation,NY,15.75,None,36138.44028,690,1,0,8,None,24322,95,15,317,None,Uncreditworthy
10000,36 Months,0,MORTGAGE,70000,Other,NY,9.09,None,36048.52778,745,3,0,4,None,2205,24.5,13,84,None,Uncreditworthy
8000,36 Months,0,MORTGAGE,52800,Home Improvement,CA,7.36,One,35448.49931,660,0,20,8,None,10973,87.8,13,227,None,Uncreditworthy
15000,36 Months,3,RENT,48800,Debt Consolidation,NY,17.61,None,36888.52639,710,3,0,9,None,28261,70,25,0,None,Creditworthy
15000,36 Months,10,MORTGAGE,135000,Debt Consolidation,MD,19.29,None,30000,685,1,49,12,One,24341,87.2,23,386,One,Creditworthy
24250,36 Months,3,MORTGAGE,113200,Other,MD,0.28,None,33207.15556,795,0,0,6,None,633,1.1,14,76,None,Creditworthy
5600,36 Months,8,RENT,30000,Credit Card,TX,12.32,None,35838.09444,755,0,0,8,None,15373,47.4,16,549,None,Creditworthy
5000,36 Months,10,RENT,49296,Other,NY,16.89,None,34308.10208,725,0,73,11,None,11665,51.6,41,252,None,Creditworthy
2000,36 Months,7,OWN,36700,Credit Card,FL,21.02,None,31578.14514,730,0,60,8,None,9184,21.2,19,0,None,Creditworthy
5500,36 Months,0.5,RENT,40440,Debt Consolidation,CA,22.91,None,37578.14792,685,0,0,10,None,13778,72.1,20,409,None,Creditworthy
10000,36 Months,10,MORTGAGE,57000,Debt Consolidation,VA,8.97,None,36438.21944,755,1,0,13,None,13150,50,41,123,None,Creditworthy
6850,36 Months,1,RENT,60000,Other,TX,13.94,None,34232.21736,795,0,0,6,None,800,2,19,181,None,Creditworthy
12000,36 Months,2,MORTGAGE,32000,Credit Card,FL,11.93,None,36618.26667,765,0,0,14,None,13405,27,27,0,None,Creditworthy
3250,36 Months,5,MORTGAGE,45000,Credit Card,WI,17.23,None,35928.27014,705,3,0,20,None,10696,24.5,33,0,None,Creditworthy
7500,36 Months,4,RENT,48659,Car,NV,6.83,None,34971.375,720,1,0,4,None,14058,73.6,6,396,None,Creditworthy
6300,36 Months,3,MORTGAGE,115000,Credit Card,CA,6.25,None,35058.3875,775,1,0,9,None,12345,17.4,21,514,None,Creditworthy
15000,36 Months,1,MORTGAGE,68553,House,DC,15.68,One,36666.18681,685,3,17,6,None,2559,44.9,20,105,None,Creditworthy
18000,36 Months,10,MORTGAGE,62000,Credit Card,PA,6.85,None,36379.20486,755,4,0,11,None,8793,24.1,45,0,None,Uncreditworthy
14400,36 Months,2,MORTGAGE,75000,Debt Consolidation,OR,5.54,None,35749.34931,720,0,0,7,None,10387,59.7,30,159,None,Creditworthy
8000,36 Months,7,RENT,55000,Debt Consolidation,NJ,6.37,None,36955.3625,685,0,65,7,None,10039,69.2,16,230,None,Creditworthy
4000,36 Months,5,MORTGAGE,49510,Other,TX,11.96,None,34363.3125,750,0,0,2,None,0,0,13,1,None,Creditworthy
8000,36 Months,2,RENT,48000,Credit Card,IL,8.4,None,36469.38681,680,1,30,6,None,9168,77.7,17,169,None,Creditworthy
16000,36 Months,10,OWN,200000,Small Business,TX,4.61,None,32779.43681,730,0,0,7,None,12997,65.7,18,1000,None,Creditworthy
5000,36 Months,3,RENT,55000,Major Purchase,NJ,7.77,None,35992.42361,685,0,46,5,None,10375,83.7,11,126,None,Creditworthy
8500,36 Months,10,MORTGAGE,46500,Debt Consolidation,FL,18.68,None,34569.32569,710,2,0,8,None,20577,90.2,29,133,None,Uncreditworthy
12000,36 Months,3,RENT,38304,Debt Consolidation,CA,15.29,None,36439.36528,745,0,0,10,None,15631,24.6,22,62,None,Creditworthy
4700,36 Months,10,MORTGAGE,120000,Other,MA,14.78,None,31639.45972,765,0,0,10,None,50000,25.5,21,0,None,Creditworthy
12000,36 Months,3,RENT,33600,Debt Consolidation,FL,16.82,None,38449.49167,710,0,0,6,None,8169,64.8,13,216,None,Creditworthy
3250,36 Months,2,MORTGAGE,39000,Debt Consolidation,GA,22.65,None,37489.53194,740,2,0,14,None,24455,52.9,32,154,None,Uncreditworthy
18000,36 Months,7,MORTGAGE,69000,Debt Consolidation,NJ,17.57,None,37099.53819,680,0,0,17,None,26364,57.8,22,1000,None,Creditworthy
4750,36 Months,7,MORTGAGE,85000,Debt Consolidation,NJ,18.49,None,30919.12778,680,3,0,14,None,10979,86.4,39,222,None,Uncreditworthy
10000,36 Months,10,RENT,65000,Small Business,CA,20.77,None,36199.05139,665,2,61,18,None,9710,58.1,36,673,None,Creditworthy
25000,36 Months,10,RENT,91000,Credit Card,NY,22.59,None,35569.10903,725,0,0,7,None,44808,65.8,20,745,None,Creditworthy
14000,36 Months,4,RENT,62500,Debt Consolidation,VA,15.27,None,35719.11319,720,2,48,9,None,6485,37.5,22,105,None,Creditworthy
6500,36 Months,2,RENT,41000,Major Purchase,TX,16.8,None,33469.16389,745,1,0,9,None,6238,14.9,11,665,None,Creditworthy
7800,36 Months,3,MORTGAGE,36000,Educationalal,MO,15.27,None,32569.16319,790,0,0,7,None,4249,21.4,14,1000,None,Creditworthy
25000,36 Months,0.5,MORTGAGE,200000,Debt Consolidation,AZ,16.16,None,31999.21806,690,0,0,11,None,50000,76.6,23,333,None,Creditworthy
15000,36 Months,3,MORTGAGE,100000,Debt Consolidation,GA,4.12,None,33471.23681,755,0,0,12,None,8361,12.1,25,426,None,Creditworthy
7000,36 Months,5,RENT,46000,Debt Consolidation,TX,23.77,None,34911.525,715,0,0,7,None,14685,89.8,14,1,None,Creditworthy
6000,36 Months,8,RENT,60495,Car,CA,13.43,None,36529.34792,760,0,0,11,None,7537,23.1,15,201,None,Creditworthy
13200,36 Months,2,OWN,51700,Debt Consolidation,AZ,17.8,None,31879.39375,770,0,0,11,None,6294,33.5,31,634,None,Creditworthy
8000,36 Months,2,RENT,37440,Small Business,CA,14.36,None,36679.04514,700,0,0,6,None,4836,62.8,10,373,None,Creditworthy
4000,36 Months,6,RENT,26000,Other,PA,1.85,None,35605.33264,755,0,0,3,None,1495,49.8,4,111,None,Creditworthy
7750,36 Months,0.5,MORTGAGE,41000,Credit Card,PA,24.64,None,34280.22361,720,3,0,10,None,10836,63,26,293,None,Creditworthy
25000,36 Months,4,RENT,185000,Small Business,NY,11.07,None,35780.44514,725,0,53,12,None,5567,20.9,19,691,None,Creditworthy
3000,36 Months,0.5,RENT,47000,Major Purchase,GA,20.5,None,35095.35,700,0,0,8,None,8027,62.7,15,97,None,Creditworthy
10000,36 Months,9,MORTGAGE,90000,Debt Consolidation,CA,15.12,None,32870.45347,740,1,0,12,None,13368,40,33,65,None,Creditworthy
2000,36 Months,0.5,RENT,24432,Debt Consolidation,TX,6.97,None,34586.43125,685,0,25,5,None,5778,41,13,575,None,Creditworthy
11200,36 Months,2,MORTGAGE,131000,Car,PA,21.83,None,34940.11528,715,0,0,12,None,50000,75.4,34,1000,None,Creditworthy
5600,36 Months,1,RENT,14400,Debt Consolidation,MA,6.33,None,38690.53819,685,0,0,3,None,1578,68.6,3,441,None,Uncreditworthy
14000,36 Months,2,RENT,50000,Debt Consolidation,CO,6.1,None,36860.53958,740,1,0,9,None,7315,27.4,17,1000,None,Creditworthy
21600,36 Months,10,MORTGAGE,200000,Credit Card,MA,7.98,None,33890.40556,710,0,0,8,None,34804,79.6,37,1000,None,Creditworthy
12000,36 Months,6,MORTGAGE,60000,Home Improvement,CT,8.42,None,37280.04792,685,3,0,13,None,14332,34,15,0,None,Uncreditworthy
5000,36 Months,10,MORTGAGE,60000,Other,MA,6.52,None,38540.15625,680,0,0,5,None,14281,65.2,6,61,None,Creditworthy
12000,36 Months,3,MORTGAGE,40000,Educationalal,OH,5.16,None,35720.16042,755,3,70,7,None,1117,2.6,13,0,None,Creditworthy
14500,36 Months,2,RENT,36000,Debt Consolidation,OH,24.4,None,37100.22917,740,0,0,9,None,9752,55.7,17,80,None,Creditworthy
11000,36 Months,4,MORTGAGE,104000,Debt Consolidation,WA,11.88,None,36590.18125,685,0,33,15,None,9637,46.7,44,238,None,Creditworthy
25000,36 Months,4,RENT,49000,Small Business,IL,17.88,None,32540.15208,735,1,45,12,None,5947,14,24,488,None,Creditworthy
14000,36 Months,4,MORTGAGE,64300,Debt Consolidation,MN,23.55,None,36440.19375,665,3,0,16,None,16515,46,28,1000,None,Creditworthy
12500,36 Months,5,OWN,75000,Debt Consolidation,GA,0.64,None,36410.18056,675,0,31,2,None,1161,23.7,10,313,None,Creditworthy
20000,36 Months,2,RENT,65000,Other,NJ,13.22,None,37520.225,755,0,0,10,None,4137,24.6,14,583,None,Creditworthy
8000,36 Months,3,MORTGAGE,160669.75,Other,CA,5.27,None,33027.05625,705,1,60,6,None,7351,94.2,21,854,None,Creditworthy
3000,36 Months,6,RENT,63000,Debt Consolidation,NJ,7.81,None,38270.39028,665,0,0,12,None,4655,87.8,15,0,None,Uncreditworthy
12000,36 Months,4,MORTGAGE,96000,Debt Consolidation,AR,2.51,None,36830.35208,695,1,0,6,None,10051,41,17,183,None,Creditworthy
3000,36 Months,0,OWN,32400,Medical,TX,0.37,None,30000,805,6,0,4,None,55,0.2,4,0,None,Creditworthy
10800,36 Months,1,RENT,52300,Car,PA,3.76,None,35241.32222,740,0,0,15,None,2642,64.4,21,557,None,Creditworthy
15000,36 Months,8,OWN,200000,Debt Consolidation,AZ,4.95,None,35583.41319,755,1,0,11,None,13020,25.4,23,1000,None,Creditworthy
7500,36 Months,0.5,RENT,45000,Debt Consolidation,TX,17.28,None,37821.38056,690,0,0,6,None,6292,71.5,11,733,None,Creditworthy
5000,36 Months,1,RENT,68648.26,Major Purchase,CA,12.27,None,38061.38333,720,1,0,3,None,5502,36.7,5,178,None,Creditworthy
12000,36 Months,0,MORTGAGE,66000,Debt Consolidation,NY,4.33,None,30000,780,2,0,13,None,6449,12.5,28,54,None,Creditworthy
21000,36 Months,10,RENT,80000,Credit Card,NY,23.1,None,34911.45833,720,0,0,11,None,34377,58.5,29,440,None,Creditworthy
8500,36 Months,1,RENT,44000,Other,AZ,17.13,None,37941.42292,695,1,0,9,None,12430,46.6,14,1,None,Creditworthy
7000,36 Months,0.5,RENT,51000,Major Purchase,MO,8.59,Two,38571.46458,670,0,21,11,None,6907,92.1,18,1000,None,Uncreditworthy
5600,36 Months,5,MORTGAGE,66000,Wedding,GA,24.82,None,31341.49028,700,0,58,11,None,7649,59.3,31,669,None,Uncreditworthy
2400,36 Months,3,RENT,24000,Debt Consolidation,IL,18.2,None,36591.46389,695,3,0,2,None,1060,42.4,4,1000,None,Creditworthy
22000,36 Months,10,MORTGAGE,37000,Debt Consolidation,FL,12.16,None,35481.47708,720,0,0,5,None,13871,70.1,10,216,None,Creditworthy
15000,36 Months,9,MORTGAGE,95000,Debt Consolidation,FL,21.68,None,35661.51944,700,0,0,14,None,44135,54.2,29,1000,None,Creditworthy
10000,36 Months,8,RENT,45000,Debt Consolidation,TX,12.48,None,33171.04931,680,1,75,4,None,4719,77.4,23,1000,None,Creditworthy
9000,36 Months,3,MORTGAGE,41000,Car,TX,10.6,One,32485.50278,730,2,18,20,None,11250,17.9,39,1,None,Creditworthy
5000,36 Months,7,RENT,47000,Debt Consolidation,PA,2.04,One,36293.24444,685,1,6,6,None,1319,44,12,316,None,Creditworthy
10000,36 Months,1,MORTGAGE,96000,Debt Consolidation,CA,16.1,None,35901.11389,710,0,30,11,None,2595,32,24,1,None,Creditworthy
6000,36 Months,2,RENT,19200,Other,GA,2.63,None,38631.11319,690,1,0,13,None,1586,61,21,287,None,Creditworthy
24000,36 Months,10,OWN,175000,Debt Consolidation,SC,10.65,None,36381.18403,715,0,49,7,None,31973,74.4,50,226,None,Creditworthy
25000,36 Months,9,RENT,91000,Other,MI,3.98,None,36201.18611,705,3,33,10,None,12797,30.2,20,406,None,Creditworthy
25000,36 Months,9,RENT,120000,Small Business,CA,3.6,None,31071.18194,725,1,29,13,None,9466,27.4,28,1000,None,Creditworthy
13000,36 Months,10,RENT,50000,Credit Card,RI,13.66,None,34732.29931,750,1,0,4,None,25444,42.4,15,0,None,Creditworthy
15000,36 Months,0,OWN,39828,Debt Consolidation,MT,15.97,None,35782.36875,720,0,0,5,None,15142,62.6,7,213,None,Creditworthy
15000,36 Months,10,MORTGAGE,98132,Other,FL,24.24,None,31402.45208,705,0,32,13,None,29618,78.1,41,0,None,Creditworthy
